4-block polymer,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV)
CH2-CO-NH-CS,3.332,1.017,4.349,3.060
CH2-CS-C6H4-O,3.572,0.467,4.039,2.531
C6H4-C6H4-C4H2S-CS,5.391,0.370,5.761,1.799
CO-O-C4H2S-CS,3.784,0.879,4.663,2.250
C6H4-CS-C4H2S-O,3.616,0.517,4.133,2.522
CO-C6H4-O-CS,3.988,0.738,4.726,2.308
C6H4-O-CS-C4H2S,4.258,0.532,4.791,2.238
C6H4-C4H2S-C6H4-C4H2S,3.928,0.110,4.037,2.328
NH-C4H2S-CO-C4H2S,5.804,1.674,7.478,1.858
CH2-NH-C4H2S-CS,4.637,1.065,5.703,1.828
NH-C6H4-CO-C6H4,3.374,0.412,3.786,3.743
NH-CO-CS-C4H2S,5.404,2.361,7.764,1.430
CO-C6H4-O-C4H2S,3.573,0.780,4.354,3.280
C6H4-CS-C4H2S-CS,5.469,0.591,6.060,1.384
CH2-C4H2S-NH-C4H2S,3.279,0.295,3.574,3.712
CH2-C4H2S-C6H4-C4H2S,3.528,0.110,3.638,2.599
CH2-NH-C6H4-CO,3.476,0.896,4.372,3.338
CO-C6H4-C4H2S-CS,4.422,0.629,5.051,2.222
C6H4-C6H4-CS-O,3.771,0.343,4.114,2.959
CH2-NH-C4H2S-C6H4,3.515,0.398,3.912,3.453
NH-C4H2S-C4H2S-CH2,3.712,0.545,4.257,2.893
CH2-C4H2S-C6H4-CS,3.728,0.323,4.051,2.142
CH2-NH-CS-C6H4,3.250,0.433,3.683,3.225
CH2-C6H4-C4H2S-C6H4,3.511,0.087,3.598,3.024
NH-CO-C4H2S-C6H4,4.401,0.714,5.115,2.418
NH-CO-CS-CO,3.983,1.361,5.344,1.615
CO-C6H4-C6H4-C6H4,3.744,0.304,4.048,2.910
CH2-CH2-C4H2S-O,2.983,0.359,3.342,4.261
NH-CS-CO-CS,6.435,1.456,7.891,1.785
CH2-C6H4-CS-O,3.176,0.348,3.523,3.170
CH2-CO-C4H2S-CS,3.784,0.550,4.335,2.495
C4H2S-C4H2S-C4H2S-O,4.721,0.410,5.131,2.061
CO-C4H2S-C6H4-CS,4.663,0.630,5.292,1.980
CH2-C6H4-NH-O,3.112,0.414,3.526,4.515
NH-CS-NH-CS,4.444,0.842,5.286,2.246
CH2-NH-CS-NH,3.260,1.408,4.668,4.123
NH-C4H2S-C4H2S-CO,5.147,1.230,6.377,1.887
CH2-C4H2S-CS-O,3.681,0.593,4.273,2.633
NH-CO-C4H2S-O,3.504,0.886,4.389,3.402
CH2-C4H2S-C6H4-O,3.449,0.315,3.764,3.072
C6H4-C6H4-C6H4-C4H2S,4.574,0.099,4.673,2.166
NH-C6H4-CO-O,3.265,1.084,4.348,3.894
NH-C4H2S-CO-O,3.577,1.275,4.851,2.482
NH-CS-NH-C6H4,4.050,1.384,5.434,2.913
CO-CS-O-CS,4.294,0.875,5.169,1.744
CH2-NH-CH2-CS,3.714,0.267,3.981,2.382
CH2-CH2-NH-C6H4,2.960,0.357,3.317,3.829
C4H2S-C4H2S-C4H2S-CS,9.694,1.032,10.726,0.935
CH2-C6H4-C6H4-O,3.109,0.328,3.437,4.033
CH2-CO-C6H4-CS,3.610,0.604,4.214,2.597
CO-C6H4-C6H4-CS,4.414,0.527,4.941,2.242
CH2-CH2-CH2-CS,3.009,0.176,3.185,2.942
CH2-C6H4-CH2-O,2.933,0.389,3.322,5.035
CH2-O-CO-O,2.454,0.895,3.348,7.701
NH-C6H4-CS-C6H4,4.333,1.676,6.009,1.983
CH2-CO-C6H4-O,3.080,0.579,3.659,3.961
CH2-NH-C4H2S-NH,3.109,0.712,3.822,3.717
CH2-C6H4-CO-O,2.929,0.603,3.532,4.206
NH-C4H2S-NH-CS,4.469,0.916,5.385,2.257
CO-C6H4-C4H2S-O,3.472,0.711,4.184,3.092
NH-C4H2S-O-C4H2S,3.299,0.435,3.734,3.981
CH2-NH-CH2-CO,2.740,0.611,3.351,3.986
NH-CO-NH-C6H4,3.416,0.799,4.215,3.609
CH2-C6H4-NH-CS,3.092,0.380,3.472,3.828
CH2-CH2-CH2-O,2.527,0.309,2.836,7.187
CH2-CS-CH2-O,3.113,0.521,3.634,2.666
NH-C6H4-C6H4-O,3.946,0.472,4.418,3.498
CH2-C4H2S-NH-CS,3.611,0.543,4.155,3.004
CH2-C6H4-O-C4H2S,3.042,0.263,3.305,4.298
CH2-CH2-CO-C6H4,3.089,0.496,3.585,3.893
CO-C4H2S-C4H2S-CS,5.046,0.807,5.854,1.728
CH2-C6H4-O-C6H4,3.011,0.249,3.260,4.416
CO-C4H2S-C6H4-O,4.134,0.845,4.978,2.323
CO-C4H2S-CO-O,3.096,1.256,4.352,3.471
CH2-CS-C4H2S-O,4.052,0.861,4.913,2.103
CH2-O-C4H2S-C6H4,3.187,0.408,3.596,3.574
